SvarID,Datum,Kundtyp,Åldersgrupp,Region,Kontaktkanal,Kontaktorsak,Avdelning,VäntetidMinuter,LösningstidTimmar,LöstVidFörstaKontakt,InformationLättAttHitta,BetygEpostsvarshastighet,BetygWebbnavigering,BetygPersonalensHjälpsamhet,Helhetsnöjdhet,Rekommendationsvilja,KöpEllerTjänstevärdeEUR,UppföljningBehövs,Kundkommentar
R0115,2026-06-26,Återkommande kund,45–54,Lokalt område,Chatt,Köp eller bokning,Kundinformation,3,0.5,Ja,Nej,,4,5,9,7,61.13,Nej,Min fråga blev besvarad. Processen fungerade bra överlag.
R0116,2026-01-14,Ny kund,65+,Annanstans i Finland,Webbformulär,Köp eller bokning,Order och leverans,12,1.3,Ja,Nej,,2,5,8,7,93.92,Nej,Min fråga om beställningen löstes snabbt och personalen var hjälpsam.
R0117,2026-06-25,Återkommande kund,45–54,Lokalt område,Telefon,Köp eller bokning,Fakturering och betalning,22,1,Ja,Ja,,4,3,8,8,48.92,Ja,"Personalen var vänlig, även om fakturans utformning kunde vara tydligare."
R0118,2026-06-01,Ny kund,35–44,Lokalt område,På plats,Retur eller avbokning,Kundinformation,13,0.8,Ja,Nej,,4,4,10,10,57.98,Nej,"Jag var osäker på webbformuläret, men den äldre damen guidade mig genom det steg för steg."
R0119,2026-03-31,Ny kund,35–44,Lokalt område,E-post,Teknisk support,Teknisk support,22,16.7,Nej,Nej,4,4,2,2,3,55.59,Ja,Jag var tvungen att förklara samma tekniska problem två gånger innan jag fick ett användbart svar.
R0120,2026-05-29,Ny kund,55–64,Annanstans i Finland,E-post,Retur eller avbokning,Fakturering och betalning,11,3.6,Ja,Nej,4,3,5,8,7,188.31,Nej,"Personalen var vänlig, även om fakturans utformning kunde vara tydligare."
R0121,2026-03-17,Ny kund,25–34,Annanstans i Finland,Chatt,Retur eller avbokning,Order och leverans,17,5.9,Nej,Nej,,2,4,7,7,37.34,Ja,Kundservicen besvarade min fråga om leveransen. Processen fungerade överlag bra.
R0122,2026-04-29,Ny kund,18–24,Annan del av regionen,E-post,Fakturering eller betalning,Fakturering och betalning,14,1.5,Ja,Ja,3,4,5,10,8,83.65,Nej,"Personalen var vänlig, även om fakturans utformning kunde vara tydligare."
R0123,2026-03-13,Ny kund,55–64,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,11,7.5,Nej,Ja,,4,4,6,4,19.95,Ja,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0124,2026-01-23,Återkommande kund,55–64,Lokalt område,Telefon,Teknisk support,Teknisk support,34,1.6,Ja,Ja,,5,3,8,7,54.94,Nej,Ärendet var mer komplicerat än väntat och krävde flera steg innan det blev löst.
R0125,2026-01-12,Ny kund,65+,Annanstans i Finland,Chatt,Produkt- eller tjänsteinformation,Kundinformation,9,1.4,Ja,Ja,,4,5,10,10,110.28,Nej,Mycket hjälpsam kundinformation. Min fråga löstes vid den första kontakten.
R0126,2026-02-03,Ny kund,25–34,Annan del av regionen,Telefon,Produkt- eller tjänsteinformation,Kundinformation,11,1.2,Ja,Ja,,4,5,9,6,316.52,Nej,
R0127,2026-05-03,Ny kund,65+,Annan del av regionen,E-post,Köp eller bokning,Order och leverans,23,1.6,Ja,Nej,4,2,5,8,9,392.23,Nej,Jag hittade inte var jag kunde kontrollera orderstatusen. Personalen var hjälpsam när jag till slut kontaktade företaget.
R0128,2026-06-19,Återkommande kund,18–24,Annan del av regionen,E-post,Klagomål eller uppföljning,Teknisk support,29,2.3,Ja,Ja,4,5,3,7,7,176.39,Ja,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0129,2026-01-28,Återkommande kund,45–54,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,10,0.8,Ja,Ja,,4,4,8,7,87.84,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0130,2026-04-19,Ny kund,25–34,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,24,0.6,Ja,Ja,4,4,4,9,10,90.6,Nej,Jag fick ett tydligt svar på min fråga om faktureringen.
R0131,2026-06-02,Ny kund,18–24,Lokalt område,E-post,Klagomål eller uppföljning,Fakturering och betalning,25,3.5,Nej,Ja,3,4,5,7,7,45.59,Ja,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0132,2026-01-19,Återkommande kund,45–54,Annan del av regionen,Telefon,Fakturering eller betalning,Fakturering och betalning,13,3.4,Ja,Ja,,4,3,7,7,83.53,Nej,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0133,2026-06-08,Återkommande kund,25–34,Annanstans i Finland,E-post,Produkt- eller tjänsteinformation,Kundinformation,6,0.4,Ja,Nej,4,3,5,8,9,52.64,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0134,2026-03-02,Ny kund,25–34,Lokalt område,E-post,Teknisk support,Teknisk support,1,18.6,Nej,Ja,3,3,3,3,4,70.72,Ja,Problemet verkar vara löst nu. Jag skulle ha uppskattat en lite tydligare förklaring.
R0135,2026-06-06,Företagskund,18–24,Annanstans i Finland,Chatt,Produkt- eller tjänsteinformation,Kundinformation,1,0.5,Ja,Nej,,3,4,9,10,1800,Nej,Jag hade flera frågor och den äldre damen besvarade allihop utan att få mig att känna mig stressad.
R0136,2026-02-03,Ny kund,35–44,Lokalt område,Telefon,Klagomål eller uppföljning,Kundinformation,19,1,Ja,Ja,,4,4,10,10,48.18,Nej,
R0137,2026-06-19,Återkommande kund,45–54,Annan del av regionen,E-post,Teknisk support,Teknisk support,32,2.5,Ja,Ja,3,4,2,5,4,53.88,Nej,"Jag blev ombedd att läsa instruktionerna, men de gav inget svar på min fråga."
R0138,2026-02-12,Ny kund,35–44,Lokalt område,Telefon,Produkt- eller tjänsteinformation,Kundinformation,15,0.6,Ja,Ja,,4,4,9,7,17.48,Nej,"Den äldre damen vid disken var varm, tålmodig och mycket tydlig. När jag gick därifrån visste jag exakt vad jag skulle göra."
R0139,2026-01-31,Återkommande kund,55–64,Annan del av regionen,På plats,Teknisk support,Teknisk support,7,2.4,Ja,Nej,,4,2,4,4,89.56,Nej,"Jag fick snabbt ett svar, men det löste egentligen inte problemet."
R0140,2026-03-12,Återkommande kund,25–34,Annan del av regionen,På plats,Produkt- eller tjänsteinformation,Kundinformation,8,0.9,Ja,Ja,,5,5,10,10,28.7,Nej,"Jag känner mig inte särskilt bekväm med digitala tjänster, men den äldre damen fick processen att kännas enkel."
R0141,2026-04-22,Företagskund,25–34,Annan del av regionen,Webbformulär,Leverans- eller orderstatus,Order och leverans,9,0.7,Ja,Nej,,2,4,5,8,364.83,Nej,Jag hittade inte var jag kunde kontrollera orderstatusen. Personalen var hjälpsam när jag till slut kontaktade företaget.
R0142,2026-06-14,Återkommande kund,45–54,Lokalt område,E-post,Leverans- eller orderstatus,Order och leverans,22,2.6,Ja,Nej,4,2,3,6,6,92.69,Nej,Jag hittade inte var jag kunde kontrollera orderstatusen. Personalen var hjälpsam när jag till slut kontaktade företaget.
R0143,2026-06-24,Ny kund,35–44,Annanstans i Finland,E-post,Retur eller avbokning,Fakturering och betalning,18,1.5,Ja,Ja,5,4,5,8,7,137.66,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0144,2026-04-30,Ny kund,35–44,Lokalt område,Telefon,Produkt- eller tjänsteinformation,Kundinformation,20,0.7,Ja,Ja,,4,5,10,9,628.26,Nej,Den äldre damen som hjälpte mig var otroligt tålmodig och förklarade varje steg tydligt.
R0145,2026-04-19,Återkommande kund,18–24,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,1,3.3,Nej,Ja,,4,4,7,6,141.7,Ja,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0146,2026-01-20,Återkommande kund,25–34,Lokalt område,Chatt,Köp eller bokning,Order och leverans,12,1.9,Ja,Ja,,2,4,8,9,39.34,Nej,Min fråga om beställningen löstes snabbt och personalen var hjälpsam.
R0147,2026-05-28,Återkommande kund,35–44,Annanstans i Finland,E-post,Fakturering eller betalning,Fakturering och betalning,15,1.5,Ja,Ja,3,4,4,6,6,32.81,Nej,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0148,2026-06-14,Återkommande kund,18–24,Annan del av regionen,E-post,Installation eller konfigurering,Teknisk support,20,2.6,Ja,Nej,3,3,2,4,2,201.32,Nej,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0149,2026-03-30,Återkommande kund,25–34,Annanstans i Finland,Telefon,Köp eller bokning,Fakturering och betalning,22,1.9,Ja,Ja,,5,5,10,10,166.68,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0150,2026-06-28,Ny kund,65+,Annan del av regionen,På plats,Köp eller bokning,Kundinformation,12,1.4,Ja,Ja,,4,5,8,9,121.18,Nej,"Jag känner mig inte särskilt bekväm med digitala tjänster, men den äldre damen fick processen att kännas enkel."
R0151,2026-01-31,Ny kund,45–54,Annan del av regionen,Chatt,Produkt- eller tjänsteinformation,Kundinformation,1,0.9,Ja,Ja,,5,5,10,9,284.63,Nej,Mycket hjälpsam kundinformation. Min fråga löstes vid den första kontakten.
R0152,2026-03-30,Ny kund,45–54,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,9,2.4,Ja,Nej,,1,5,7,6,593.84,Ja,Jag hittade inte var jag kunde kontrollera orderstatusen. Personalen var hjälpsam när jag till slut kontaktade företaget.
R0153,2026-04-18,Ny kund,55–64,Annanstans i Finland,Webbformulär,Teknisk support,Teknisk support,31,10.1,Nej,Nej,,4,2,1,1,160.63,Ja,"De tekniska instruktionerna var begripliga, även om det tog en stund att lösa problemet."
R0154,2026-02-04,Ny kund,25–34,Annanstans i Finland,Chatt,Klagomål eller uppföljning,Teknisk support,10,1.3,Ja,Nej,,3,3,5,5,29.86,Ja,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0155,2026-03-08,Ny kund,35–44,Annan del av regionen,Chatt,Leverans- eller orderstatus,Order och leverans,5,2.2,Ja,Nej,,1,5,6,7,74.99,Nej,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
R0156,2026-01-09,Ny kund,35–44,Lokalt område,Telefon,Klagomål eller uppföljning,Kundinformation,7,0.6,Ja,Ja,,4,5,8,8,713.89,Ja,Personalen lyssnade noggrant och gav mig ett tydligt svar.
R0157,2026-03-26,Återkommande kund,55–64,Annanstans i Finland,E-post,Leverans- eller orderstatus,Order och leverans,19,9,Nej,Ja,4,3,5,8,6,243.56,Ja,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0158,2026-03-10,Återkommande kund,45–54,Annan del av regionen,Webbformulär,Retur eller avbokning,Order och leverans,3,0.7,Ja,Nej,,2,4,7,7,304.63,Ja,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0159,2026-04-08,Återkommande kund,18–24,Annanstans i Finland,Telefon,Installation eller konfigurering,Teknisk support,1,9.7,Nej,Nej,,4,2,4,4,34.41,Ja,"Jag blev ombedd att läsa instruktionerna, men de gav inget svar på min fråga."
R0160,2026-02-18,Återkommande kund,25–34,Lokalt område,Telefon,Produkt- eller tjänsteinformation,Kundinformation,6,0.9,Ja,Ja,,4,4,10,10,90.15,Nej,Mycket hjälpsam kundinformation. Min fråga löstes vid den första kontakten.
R0161,2026-05-06,Företagskund,65+,Annan del av regionen,Telefon,Retur eller avbokning,Order och leverans,1,1,Ja,Nej,,2,5,6,6,267.19,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0162,2026-03-04,Återkommande kund,55–64,Annanstans i Finland,Telefon,Installation eller konfigurering,Teknisk support,1,9,Nej,Ja,,4,2,3,3,283.62,Ja,Teknikern verkade irriterad över grundläggande frågor. Till slut hittade jag lösningen själv.
R0163,2026-02-16,Ny kund,25–34,Lokalt område,E-post,Klagomål eller uppföljning,Order och leverans,13,0.9,Ja,Ja,3,3,5,7,7,305.88,Nej,Kundservicen besvarade min fråga om leveransen. Processen fungerade överlag bra.
R0164,2026-05-28,Ny kund,35–44,Lokalt område,Chatt,Teknisk support,Teknisk support,11,26.1,Nej,Ja,,4,3,5,5,112.95,Ja,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0165,2026-05-17,Återkommande kund,25–34,Annan del av regionen,Telefon,Leverans- eller orderstatus,Order och leverans,85,5.1,Nej,Nej,,1,4,6,7,28.25,Ja,Jag hittade spårningssidan och kontaktade företaget bara för att bekräfta en detalj.
R0166,2026-02-16,Återkommande kund,18–24,Annan del av regionen,Chatt,Köp eller bokning,Kundinformation,17,1.1,Ja,Nej,,4,5,10,8,31.65,Nej,"Jag var osäker på webbformuläret, men den äldre damen guidade mig genom det steg för steg."
R0167,2026-05-16,Återkommande kund,55–64,Lokalt område,Telefon,Köp eller bokning,Fakturering och betalning,11,7.1,Nej,Nej,,4,4,7,8,124.92,Ja,Faktureringsinformationen var ganska lätt att hitta och den sista frågan besvarades via e-post.
R0168,2026-03-30,Ny kund,25–34,Annan del av regionen,E-post,Köp eller bokning,Order och leverans,1,2.5,Ja,Ja,4,2,5,7,6,498.86,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0169,2026-02-21,Ny kund,55–64,Lokalt område,Webbformulär,Köp eller bokning,Fakturering och betalning,16,4.4,Nej,Ja,,4,4,6,6,90.7,Nej,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0170,2026-02-02,Ny kund,25–34,Annan del av regionen,Chatt,Teknisk support,Teknisk support,18,9.7,Nej,Ja,,4,3,4,6,216.77,Ja,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0171,2026-02-18,Ny kund,35–44,Lokalt område,Telefon,Installation eller konfigurering,Teknisk support,34,8.7,Nej,Nej,,4,2,4,4,51.94,Ja,"Jag fick snabbt ett svar, men det löste egentligen inte problemet."
R0172,2026-03-06,Ny kund,45–54,Lokalt område,På plats,Leverans- eller orderstatus,Order och leverans,33,1.7,Ja,Nej,,2,5,10,9,26.36,Nej,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
R0173,2026-05-30,Företagskund,55–64,Lokalt område,Chatt,Teknisk support,Teknisk support,20,18.3,Nej,Nej,,4,4,4,4,99.64,Nej,"Jag fick snabbt ett svar, men det löste egentligen inte problemet."
R0174,2026-06-28,Ny kund,55–64,Annan del av regionen,Telefon,Produkt- eller tjänsteinformation,Kundinformation,12,0.8,Ja,Ja,,4,5,10,10,30.04,Nej,"Jag känner mig inte särskilt bekväm med digitala tjänster, men den äldre damen fick processen att kännas enkel."
R0175,2026-04-27,Ny kund,45–54,Annan del av regionen,Webbformulär,Teknisk support,Teknisk support,17,6.3,Nej,Ja,,4,2,2,3,63.43,Ja,"Det tekniska problemet var verkligt, men svaret kändes avfärdande snarare än hjälpsamt."
R0176,2026-06-21,Företagskund,45–54,Lokalt område,E-post,Installation eller konfigurering,Teknisk support,101,5.5,Nej,Nej,2,3,2,4,3,311.04,Ja,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0177,2026-04-19,Företagskund,25–34,Lokalt område,Telefon,Köp eller bokning,Order och leverans,12,5.7,Nej,Nej,,2,4,7,4,103.11,Nej,Jag hade en enkel fråga om min beställning som egentligen borde ha besvarats på webbplatsen.
R0178,2026-04-09,Ny kund,18–24,Annanstans i Finland,Telefon,Fakturering eller betalning,Fakturering och betalning,20,7.5,Nej,Ja,,4,4,7,6,47.2,Ja,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0179,2026-01-29,Återkommande kund,65+,Lokalt område,Telefon,Teknisk support,Teknisk support,37,17.9,Nej,Ja,,4,3,5,6,135.96,Ja,Jag var tvungen att förklara samma tekniska problem två gånger innan jag fick ett användbart svar.
R0180,2026-06-24,Återkommande kund,45–54,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,6,6.2,Ja,Nej,,2,4,7,5,74.25,Nej,Jag hade en enkel fråga om min beställning som egentligen borde ha besvarats på webbplatsen.
R0181,2026-01-22,Återkommande kund,45–54,Lokalt område,Chatt,Fakturering eller betalning,Fakturering och betalning,3,1.8,Ja,Ja,,4,4,6,7,48.69,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0182,2026-01-07,Ny kund,18–24,Annanstans i Finland,Chatt,Produkt- eller tjänsteinformation,Kundinformation,13,1.6,Ja,Ja,,4,5,10,10,123.46,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0183,2026-06-01,Återkommande kund,55–64,Lokalt område,På plats,Produkt- eller tjänsteinformation,Kundinformation,24,0.5,Ja,Ja,,4,5,10,10,126.24,Nej,Jag hade flera frågor och den äldre damen besvarade allihop utan att få mig att känna mig stressad.
R0184,2026-02-07,Ny kund,55–64,Lokalt område,Telefon,Köp eller bokning,Kundinformation,71,0.3,Ja,Ja,,4,5,10,10,55.71,Nej,Utmärkt service av den äldre damen. Hon lyssnade noggrant och löste allt under ett enda samtal.
R0185,2026-04-07,Företagskund,35–44,Annan del av regionen,Chatt,Produkt- eller tjänsteinformation,Kundinformation,9,0.3,Ja,Ja,,5,4,10,10,703.67,Nej,"Jag var osäker på webbformuläret, men den äldre damen guidade mig genom det steg för steg."
R0186,2026-06-14,Återkommande kund,18–24,Annan del av regionen,Telefon,Köp eller bokning,Kundinformation,6,0.6,Ja,Ja,,4,4,10,10,49.38,Nej,Den äldre damen var antagligen den mest hjälpsamma person jag har talat med på företaget.
R0187,2026-03-09,Återkommande kund,25–34,Annan del av regionen,E-post,Leverans- eller orderstatus,Order och leverans,32,2.5,Ja,Nej,4,2,4,6,6,128.75,Nej,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0188,2026-04-20,Återkommande kund,25–34,Annan del av regionen,Chatt,Leverans- eller orderstatus,Order och leverans,20,1.2,Ja,Nej,,2,5,8,9,46.39,Nej,Det var inget fel på personalen. Problemet var att webbplatsen inte gav mig den information jag behövde.
R0189,2026-04-26,Återkommande kund,65+,Annan del av regionen,Chatt,Installation eller konfigurering,Teknisk support,19,10.7,Nej,Nej,,4,3,4,4,51.01,Ja,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0190,2026-06-29,Företagskund,25–34,Lokalt område,Chatt,Installation eller konfigurering,Teknisk support,13,11.1,Nej,Ja,,4,4,4,5,970.2,Ja,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0191,2026-03-28,Återkommande kund,18–24,Annan del av regionen,E-post,Installation eller konfigurering,Teknisk support,15,9,Nej,Nej,2,4,2,4,4,79.06,Ja,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0192,2026-06-28,Ny kund,25–34,Lokalt område,Telefon,Retur eller avbokning,Kundinformation,18,0.4,Ja,Ja,,4,5,10,9,353.42,Nej,Jag hade flera frågor och den äldre damen besvarade allihop utan att få mig att känna mig stressad.
R0193,2026-02-21,Återkommande kund,25–34,Annan del av regionen,På plats,Köp eller bokning,Kundinformation,9,0.6,Ja,Ja,,4,5,10,9,165.52,Nej,
R0194,2026-03-18,Återkommande kund,35–44,Annan del av regionen,Chatt,Teknisk support,Teknisk support,22,1.8,Ja,Nej,,5,2,5,7,127.68,Ja,Ärendet var mer komplicerat än väntat och krävde flera steg innan det blev löst.
R0195,2026-04-10,Ny kund,35–44,Annan del av regionen,Telefon,Fakturering eller betalning,Fakturering och betalning,18,2.3,Ja,Nej,,3,4,8,9,133.24,Nej,
R0196,2026-05-14,Återkommande kund,18–24,Annan del av regionen,E-post,Teknisk support,Teknisk support,10,3.6,Ja,Nej,4,3,3,6,6,71.62,Nej,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0197,2026-06-25,Företagskund,25–34,Annan del av regionen,Telefon,Teknisk support,Teknisk support,34,22.6,Nej,Ja,,4,3,4,3,85.14,Ja,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0198,2026-02-01,Återkommande kund,45–54,Annanstans i Finland,Webbformulär,Teknisk support,Teknisk support,38,3.6,Ja,Ja,,4,3,7,5,389.89,Ja,"Jag blev ombedd att läsa instruktionerna, men de gav inget svar på min fråga."
R0199,2026-03-06,Återkommande kund,45–54,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,4,1.1,Ja,Ja,,3,5,8,6,32.87,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0200,2026-03-14,Ny kund,65+,Annan del av regionen,Webbformulär,Köp eller bokning,Order och leverans,13,1.4,Ja,Nej,,2,4,7,7,88.09,Nej,"Sidorna om returer och leveranser var svåra att navigera, så jag kontaktade kundservicen i stället."
R0201,2026-01-18,Ny kund,25–34,Lokalt område,Webbformulär,Köp eller bokning,Kundinformation,22,1.9,Ja,Ja,,5,5,10,10,96.16,Nej,Personalen lyssnade noggrant och gav mig ett tydligt svar.
R0202,2026-05-24,Företagskund,18–24,Annanstans i Finland,Chatt,Teknisk support,Teknisk support,33,15.2,Nej,Nej,,3,3,2,3,398.35,Ja,"De tekniska instruktionerna var begripliga, även om det tog en stund att lösa problemet."
R0203,2026-03-15,Återkommande kund,65+,Annan del av regionen,Telefon,Klagomål eller uppföljning,Fakturering och betalning,21,1.2,Ja,Ja,,4,4,7,7,67.17,Nej,
R0204,2026-06-27,Ny kund,25–34,Lokalt område,Telefon,Teknisk support,Teknisk support,27,2.9,Ja,Ja,,4,2,7,4,151.24,Nej,"Det första tekniska svaret berättade vad jag skulle prova, men inte hur jag skulle göra det. Jag behövde kontakta företaget igen."
R0205,2026-03-26,Återkommande kund,55–64,Lokalt område,Webbformulär,Köp eller bokning,Order och leverans,5,1.6,Ja,Nej,,1,4,8,8,54.91,Nej,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0206,2026-04-24,Ny kund,18–24,Annan del av regionen,E-post,Leverans- eller orderstatus,Order och leverans,22,3.1,Ja,Nej,3,3,3,7,7,96,Nej,Informationen på webbplatsen var tydlig och kundservicen bekräftade leveransdatumet.
R0207,2026-05-01,Ny kund,45–54,Lokalt område,E-post,Retur eller avbokning,Fakturering och betalning,17,4.3,Nej,Ja,4,4,4,6,7,59.17,Ja,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0208,2026-06-08,Ny kund,35–44,Lokalt område,Telefon,Leverans- eller orderstatus,Order och leverans,23,1.1,Ja,Nej,,1,5,7,7,32.9,Ja,Jag gick runt i cirklar på webbplatsen när jag letade efter leveransinformation. Personen i kundservicen var däremot bra.
R0209,2026-06-19,Återkommande kund,45–54,Lokalt område,E-post,Klagomål eller uppföljning,Order och leverans,10,2.6,Ja,Ja,2,2,4,9,6,312.38,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0210,2026-04-17,Ny kund,25–34,Annanstans i Finland,E-post,Teknisk support,Teknisk support,28,16.6,Nej,Ja,2,5,3,5,6,57.6,Ja,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0211,2026-03-12,Ny kund,35–44,Lokalt område,Webbformulär,Klagomål eller uppföljning,Teknisk support,11,14,Nej,Ja,,4,3,5,7,92.5,Nej,"Jag fick snabbt ett svar, men det löste egentligen inte problemet."
R0212,2026-06-13,Ny kund,35–44,Lokalt område,E-post,Leverans- eller orderstatus,Order och leverans,15,1.5,Ja,Nej,4,3,5,6,5,81.91,Nej,"Sidorna om returer och leveranser var svåra att navigera, så jag kontaktade kundservicen i stället."
R0213,2026-05-24,Återkommande kund,25–34,Annanstans i Finland,E-post,Klagomål eller uppföljning,Order och leverans,21,9.8,Nej,Nej,4,2,4,5,7,87.58,Ja,Leveransinformationen på webbplatsen var otydlig. Kundservicen svarade genast när jag frågade.
R0214,2026-02-04,Återkommande kund,25–34,Lokalt område,På plats,Produkt- eller tjänsteinformation,Kundinformation,1,1.4,Ja,Ja,,5,5,10,10,184.68,Nej,Utmärkt service av den äldre damen. Hon lyssnade noggrant och löste allt under ett enda samtal.
R0215,2026-05-22,Företagskund,65+,Lokalt område,På plats,Fakturering eller betalning,Fakturering och betalning,1,2.7,Ja,Ja,,4,4,8,6,1571.07,Nej,Jag fick ett tydligt svar på min fråga om faktureringen.
R0216,2026-03-27,Ny kund,18–24,Annan del av regionen,E-post,Fakturering eller betalning,Fakturering och betalning,18,6.2,Nej,Ja,4,3,3,7,7,160.59,Ja,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0217,2026-04-06,Återkommande kund,55–64,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,34,1.2,Ja,Ja,3,4,4,8,8,239.02,Nej,
R0218,2026-04-23,Ny kund,55–64,Lokalt område,På plats,Retur eller avbokning,Kundinformation,18,0.5,Ja,Ja,,4,4,9,9,116.09,Nej,Jag hade flera frågor och den äldre damen besvarade allihop utan att få mig att känna mig stressad.
R0219,2026-03-04,Ny kund,35–44,Annanstans i Finland,E-post,Fakturering eller betalning,Fakturering och betalning,10,3.8,Ja,Ja,4,5,5,8,7,354.75,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0220,2026-04-01,Återkommande kund,65+,Annanstans i Finland,På plats,Produkt- eller tjänsteinformation,Kundinformation,11,0.6,Ja,Ja,,4,5,8,8,61.4,Nej,Den äldre kvinnan som svarade i telefon var ovanligt vänlig och förklarade bokningsprocessen i lugn takt.
R0221,2026-01-21,Återkommande kund,25–34,Annan del av regionen,Chatt,Leverans- eller orderstatus,Order och leverans,23,1.6,Ja,Nej,,1,4,8,7,22.37,Nej,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0222,2026-02-26,Återkommande kund,35–44,Annan del av regionen,E-post,Fakturering eller betalning,Fakturering och betalning,3,3.8,Ja,Ja,4,5,4,8,9,42.22,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0223,2026-03-22,Ny kund,25–34,Lokalt område,Telefon,Retur eller avbokning,Order och leverans,37,1.4,Ja,Nej,,2,4,8,8,12.34,Nej,Min fråga om beställningen löstes snabbt och personalen var hjälpsam.
R0224,2026-06-20,Ny kund,35–44,Annan del av regionen,Chatt,Installation eller konfigurering,Teknisk support,1,2.5,Ja,Ja,,4,2,5,7,28.72,Nej,"Det tekniska problemet var verkligt, men svaret kändes avfärdande snarare än hjälpsamt."
R0225,2026-03-01,Företagskund,65+,Annan del av regionen,Telefon,Teknisk support,Teknisk support,7,2.3,Ja,Ja,,4,2,6,6,196.52,Nej,"Min fråga om konfigureringen löstes delvis, men jag behöver fortfarande testa det sista steget."
R0226,2026-04-19,Ny kund,35–44,Annanstans i Finland,Telefon,Leverans- eller orderstatus,Order och leverans,15,2.1,Ja,Nej,,2,5,7,6,108.78,Nej,Leveransinformationen på webbplatsen var otydlig. Kundservicen svarade genast när jag frågade.
R0227,2026-04-12,Återkommande kund,55–64,Annanstans i Finland,Telefon,Retur eller avbokning,Kundinformation,11,2.1,Ja,Ja,,4,4,8,6,29.81,Nej,"Kvinnan som hjälpte mig tog extra tid för att förklara alternativen, och det uppskattade jag verkligen."
