ResponseID,Date,CustomerType,AgeGroup,Region,Channel,ContactReason,Department,WaitingTimeMinutes,ResolutionTimeHours,SolvedFirstContact,InformationEasyToFind,EmailResponseSpeedRating,WebsiteNavigationRating,StaffHelpfulnessRating,OverallSatisfaction,WouldRecommend,PurchaseOrServiceValueEUR,FollowUpNeeded,CustomerComment
R0147,2026-05-28,Returning customer,35–44,Elsewhere in Finland,Email,Billing or payment,Billing & Payments,15,1.5,Yes,Yes,3,4,4,6,6,32.81,No,"I had to ask about an additional fee, but the explanation was reasonable."
R0148,2026-06-14,Returning customer,18–24,Other part of region,Email,Installation or setup,Technical Support,20,2.6,Yes,No,3,3,2,4,2,201.32,No,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0149,2026-03-30,Returning customer,25–34,Elsewhere in Finland,Phone,Purchase or booking,Billing & Payments,22,1.9,Yes,Yes,,5,5,10,10,166.68,No,I needed one follow-up about the invoice before everything was clear.
R0150,2026-06-28,New customer,65+,Other part of region,In person,Purchase or booking,Customer Information,12,1.4,Yes,Yes,,4,5,8,9,121.18,No,"I am not very comfortable with online services, but the older lady made the process feel easy."
R0151,2026-01-31,New customer,45–54,Other part of region,Chat,Product or service information,Customer Information,1,0.9,Yes,Yes,,5,5,10,9,284.63,No,Very helpful customer information. My question was solved during the first contact.
R0152,2026-03-30,New customer,45–54,Local area,Chat,Delivery or order status,Orders & Delivery,9,2.4,Yes,No,,1,5,7,6,593.84,Yes,I could not find where to check my order status. The staff member was helpful when I finally contacted the company.
R0153,2026-04-18,New customer,55–64,Elsewhere in Finland,Web form,Technical support,Technical Support,31,10.1,No,No,,4,2,1,1,160.63,Yes,"The technical instructions were understandable, although the resolution took a while."
R0154,2026-02-04,New customer,25–34,Elsewhere in Finland,Chat,Complaint or follow-up,Technical Support,10,1.3,Yes,No,,3,3,5,5,29.86,Yes,The technician's answer was very short and I still did not know what to do.
R0155,2026-03-08,New customer,35–44,Other part of region,Chat,Delivery or order status,Orders & Delivery,5,2.2,Yes,No,,1,5,6,7,74.99,No,I only contacted the company because I could not see when my order would arrive online.
R0156,2026-01-09,New customer,35–44,Local area,Phone,Complaint or follow-up,Customer Information,7,0.6,Yes,Yes,,4,5,8,8,713.89,Yes,The employee listened carefully and gave me a clear answer.
R0157,2026-03-26,Returning customer,55–64,Elsewhere in Finland,Email,Delivery or order status,Orders & Delivery,19,9.0,No,Yes,4,3,5,8,6,243.56,Yes,I needed help with a return and the employee explained the next step clearly.
R0158,2026-03-10,Returning customer,45–54,Other part of region,Web form,Return or cancellation,Orders & Delivery,3,0.7,Yes,No,,2,4,7,7,304.63,Yes,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0159,2026-04-08,Returning customer,18–24,Elsewhere in Finland,Phone,Installation or setup,Technical Support,1,9.7,No,No,,4,2,4,4,34.41,Yes,"I was told to check the instructions, but the instructions did not answer my question."
R0160,2026-02-18,Returning customer,25–34,Local area,Phone,Product or service information,Customer Information,6,0.9,Yes,Yes,,4,4,10,10,90.15,No,Very helpful customer information. My question was solved during the first contact.
R0161,2026-05-06,Business customer,65+,Other part of region,Phone,Return or cancellation,Orders & Delivery,1,1.0,Yes,No,,2,5,6,6,267.19,No,I needed help with a return and the employee explained the next step clearly.
R0162,2026-03-04,Returning customer,55–64,Elsewhere in Finland,Phone,Installation or setup,Technical Support,1,9.0,No,Yes,,4,2,3,3,283.62,Yes,The technician seemed annoyed by basic questions. I eventually found the solution myself.
R0163,2026-02-16,New customer,25–34,Local area,Email,Complaint or follow-up,Orders & Delivery,13,0.9,Yes,Yes,3,3,5,7,7,305.88,No,Customer service answered my delivery question. The process was acceptable overall.
R0164,2026-05-28,New customer,35–44,Local area,Chat,Technical support,Technical Support,11,26.1,No,Yes,,4,3,5,5,112.95,Yes,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0165,2026-05-17,Returning customer,25–34,Other part of region,Phone,Delivery or order status,Orders & Delivery,85,5.1,No,No,,1,4,6,7,28.25,Yes,I found the tracking page and only contacted the company to confirm one detail.
R0166,2026-02-16,Returning customer,18–24,Other part of region,Chat,Purchase or booking,Customer Information,17,1.1,Yes,No,,4,5,10,8,31.65,No,"I was nervous about the online form, but the older lady talked me through it step by step."
R0167,2026-05-16,Returning customer,55–64,Local area,Phone,Purchase or booking,Billing & Payments,11,7.1,No,No,,4,4,7,8,124.92,Yes,The billing information was easy enough to find and the final question was answered by email.
R0168,2026-03-30,New customer,25–34,Other part of region,Email,Purchase or booking,Orders & Delivery,1,2.5,Yes,Yes,4,2,5,7,6,498.86,No,I needed help with a return and the employee explained the next step clearly.
R0169,2026-02-21,New customer,55–64,Local area,Web form,Purchase or booking,Billing & Payments,16,4.4,No,Yes,,4,4,6,6,90.7,No,"I had to ask about an additional fee, but the explanation was reasonable."
R0170,2026-02-02,New customer,25–34,Other part of region,Chat,Technical support,Technical Support,18,9.7,No,Yes,,4,3,4,6,216.77,Yes,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0171,2026-02-18,New customer,35–44,Local area,Phone,Installation or setup,Technical Support,34,8.7,No,No,,4,2,4,4,51.94,Yes,"I received an answer quickly, but it did not actually solve the problem."
R0172,2026-03-06,New customer,45–54,Local area,In person,Delivery or order status,Orders & Delivery,33,1.7,Yes,No,,2,5,10,9,26.36,No,I only contacted the company because I could not see when my order would arrive online.
R0173,2026-05-30,Business customer,55–64,Local area,Chat,Technical support,Technical Support,20,18.3,No,No,,4,4,4,4,99.64,No,"I received an answer quickly, but it did not actually solve the problem."
R0174,2026-06-28,New customer,55–64,Other part of region,Phone,Product or service information,Customer Information,12,0.8,Yes,Yes,,4,5,10,10,30.04,No,"I am not very comfortable with online services, but the older lady made the process feel easy."
R0175,2026-04-27,New customer,45–54,Other part of region,Web form,Technical support,Technical Support,17,6.3,No,Yes,,4,2,2,3,63.43,Yes,"The technical problem was real, but the response felt dismissive rather than helpful."
R0176,2026-06-21,Business customer,45–54,Local area,Email,Installation or setup,Technical Support,101,5.5,No,No,2,3,2,4,3,311.04,Yes,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0177,2026-04-19,Business customer,25–34,Local area,Phone,Purchase or booking,Orders & Delivery,12,5.7,No,No,,2,4,7,4,103.11,No,I had a simple question about my order that really should have been answered on the website.
R0178,2026-04-09,New customer,18–24,Elsewhere in Finland,Phone,Billing or payment,Billing & Payments,20,7.5,No,Yes,,4,4,7,6,47.2,Yes,"The payment process worked, but I would prefer a faster email reply."
R0179,2026-01-29,Returning customer,65+,Local area,Phone,Technical support,Technical Support,37,17.9,No,Yes,,4,3,5,6,135.96,Yes,I had to explain the same technical issue twice before I got a useful answer.
R0180,2026-06-24,Returning customer,45–54,Local area,Chat,Delivery or order status,Orders & Delivery,6,6.2,Yes,No,,2,4,7,5,74.25,No,I had a simple question about my order that really should have been answered on the website.
R0181,2026-01-22,Returning customer,45–54,Local area,Chat,Billing or payment,Billing & Payments,3,1.8,Yes,Yes,,4,4,6,7,48.69,No,The invoice question was answered clearly and I understood the charge.
R0182,2026-01-07,New customer,18–24,Elsewhere in Finland,Chat,Product or service information,Customer Information,13,1.6,Yes,Yes,,4,5,10,10,123.46,No,Friendly service and a clear explanation of what I needed to do next.
R0183,2026-06-01,Returning customer,55–64,Local area,In person,Product or service information,Customer Information,24,0.5,Yes,Yes,,4,5,10,10,126.24,No,I had several questions and the older lady answered every one without making me feel hurried.
R0184,2026-02-07,New customer,55–64,Local area,Phone,Purchase or booking,Customer Information,71,0.3,Yes,Yes,,4,5,10,10,55.71,No,Excellent service from the older lady. She listened carefully and solved everything in one conversation.
R0185,2026-04-07,Business customer,35–44,Other part of region,Chat,Product or service information,Customer Information,9,0.3,Yes,Yes,,5,4,10,10,703.67,No,"I was nervous about the online form, but the older lady talked me through it step by step."
R0186,2026-06-14,Returning customer,18–24,Other part of region,Phone,Purchase or booking,Customer Information,6,0.6,Yes,Yes,,4,4,10,10,49.38,No,The older lady was probably the most helpful person I have spoken to at the company.
R0187,2026-03-09,Returning customer,25–34,Other part of region,Email,Delivery or order status,Orders & Delivery,32,2.5,Yes,No,4,2,4,6,6,128.75,No,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0188,2026-04-20,Returning customer,25–34,Other part of region,Chat,Delivery or order status,Orders & Delivery,20,1.2,Yes,No,,2,5,8,9,46.39,No,Nothing was wrong with the staff. The problem was that the website did not tell me what I needed to know.
R0189,2026-04-26,Returning customer,65+,Other part of region,Chat,Installation or setup,Technical Support,19,10.7,No,No,,4,3,4,4,51.01,Yes,I felt as if I was bothering the technician when I asked a follow-up question.
R0190,2026-06-29,Business customer,25–34,Local area,Chat,Installation or setup,Technical Support,13,11.1,No,Yes,,4,4,4,5,970.2,Yes,I felt as if I was bothering the technician when I asked a follow-up question.
R0191,2026-03-28,Returning customer,18–24,Other part of region,Email,Installation or setup,Technical Support,15,9.0,No,No,2,4,2,4,4,79.06,Yes,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0192,2026-06-28,New customer,25–34,Local area,Phone,Return or cancellation,Customer Information,18,0.4,Yes,Yes,,4,5,10,9,353.42,No,I had several questions and the older lady answered every one without making me feel hurried.
R0193,2026-02-21,Returning customer,25–34,Other part of region,In person,Purchase or booking,Customer Information,9,0.6,Yes,Yes,,4,5,10,9,165.52,No,
R0194,2026-03-18,Returning customer,35–44,Other part of region,Chat,Technical support,Technical Support,22,1.8,Yes,No,,5,2,5,7,127.68,Yes,The issue was more complicated than expected and took several steps to resolve.
R0195,2026-04-10,New customer,35–44,Other part of region,Phone,Billing or payment,Billing & Payments,18,2.3,Yes,No,,3,4,8,9,133.24,No,
R0196,2026-05-14,Returning customer,18–24,Other part of region,Email,Technical support,Technical Support,10,3.6,Yes,No,4,3,3,6,6,71.62,No,The technician's answer was very short and I still did not know what to do.
R0197,2026-06-25,Business customer,25–34,Other part of region,Phone,Technical support,Technical Support,34,22.6,No,Yes,,4,3,4,3,85.14,Yes,The technician's answer was very short and I still did not know what to do.
R0198,2026-02-01,Returning customer,45–54,Elsewhere in Finland,Web form,Technical support,Technical Support,38,3.6,Yes,Yes,,4,3,7,5,389.89,Yes,"I was told to check the instructions, but the instructions did not answer my question."
R0199,2026-03-06,Returning customer,45–54,Local area,Chat,Delivery or order status,Orders & Delivery,4,1.1,Yes,Yes,,3,5,8,6,32.87,No,I needed help with a return and the employee explained the next step clearly.
R0200,2026-03-14,New customer,65+,Other part of region,Web form,Purchase or booking,Orders & Delivery,13,1.4,Yes,No,,2,4,7,7,88.09,No,"The return and delivery pages were hard to navigate, so I contacted customer service instead."
R0201,2026-01-18,New customer,25–34,Local area,Web form,Purchase or booking,Customer Information,22,1.9,Yes,Yes,,5,5,10,10,96.16,No,The employee listened carefully and gave me a clear answer.
R0202,2026-05-24,Business customer,18–24,Elsewhere in Finland,Chat,Technical support,Technical Support,33,15.2,No,No,,3,3,2,3,398.35,Yes,"The technical instructions were understandable, although the resolution took a while."
R0203,2026-03-15,Returning customer,65+,Other part of region,Phone,Complaint or follow-up,Billing & Payments,21,1.2,Yes,Yes,,4,4,7,7,67.17,No,
R0204,2026-06-27,New customer,25–34,Local area,Phone,Technical support,Technical Support,27,2.9,Yes,Yes,,4,2,7,4,151.24,No,"The first technical reply told me what to try, but not how to do it. I needed another contact."
R0205,2026-03-26,Returning customer,55–64,Local area,Web form,Purchase or booking,Orders & Delivery,5,1.6,Yes,No,,1,4,8,8,54.91,No,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0206,2026-04-24,New customer,18–24,Other part of region,Email,Delivery or order status,Orders & Delivery,22,3.1,Yes,No,3,3,3,7,7,96.0,No,The website information was clear and customer service confirmed the delivery date.
R0207,2026-05-01,New customer,45–54,Local area,Email,Return or cancellation,Billing & Payments,17,4.3,No,Yes,4,4,4,6,7,59.17,Yes,The invoice question was answered clearly and I understood the charge.
R0208,2026-06-08,New customer,35–44,Local area,Phone,Delivery or order status,Orders & Delivery,23,1.1,Yes,No,,1,5,7,7,32.9,Yes,The website sent me in circles when I looked for delivery information. The actual service person was good.
R0209,2026-06-19,Returning customer,45–54,Local area,Email,Complaint or follow-up,Orders & Delivery,10,2.6,Yes,Yes,2,2,4,9,6,312.38,No,I needed help with a return and the employee explained the next step clearly.
R0210,2026-04-17,New customer,25–34,Elsewhere in Finland,Email,Technical support,Technical Support,28,16.6,No,Yes,2,5,3,5,6,57.6,Yes,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0211,2026-03-12,New customer,35–44,Local area,Web form,Complaint or follow-up,Technical Support,11,14.0,No,Yes,,4,3,5,7,92.5,No,"I received an answer quickly, but it did not actually solve the problem."
R0212,2026-06-13,New customer,35–44,Local area,Email,Delivery or order status,Orders & Delivery,15,1.5,Yes,No,4,3,5,6,5,81.91,No,"The return and delivery pages were hard to navigate, so I contacted customer service instead."
R0213,2026-05-24,Returning customer,25–34,Elsewhere in Finland,Email,Complaint or follow-up,Orders & Delivery,21,9.8,No,No,4,2,4,5,7,87.58,Yes,The delivery information on the website was unclear. Customer service answered immediately once I asked.
R0214,2026-02-04,Returning customer,25–34,Local area,In person,Product or service information,Customer Information,1,1.4,Yes,Yes,,5,5,10,10,184.68,No,Excellent service from the older lady. She listened carefully and solved everything in one conversation.
R0215,2026-05-22,Business customer,65+,Local area,In person,Billing or payment,Billing & Payments,1,2.7,Yes,Yes,,4,4,8,6,1571.07,No,I received a clear answer to my billing question.
R0216,2026-03-27,New customer,18–24,Other part of region,Email,Billing or payment,Billing & Payments,18,6.2,No,Yes,4,3,3,7,7,160.59,Yes,The invoice question was answered clearly and I understood the charge.
R0217,2026-04-06,Returning customer,55–64,Local area,Email,Billing or payment,Billing & Payments,34,1.2,Yes,Yes,3,4,4,8,8,239.02,No,
R0218,2026-04-23,New customer,55–64,Local area,In person,Return or cancellation,Customer Information,18,0.5,Yes,Yes,,4,4,9,9,116.09,No,I had several questions and the older lady answered every one without making me feel hurried.
R0219,2026-03-04,New customer,35–44,Elsewhere in Finland,Email,Billing or payment,Billing & Payments,10,3.8,Yes,Yes,4,5,5,8,7,354.75,No,"The payment process worked, but I would prefer a faster email reply."
R0220,2026-04-01,Returning customer,65+,Elsewhere in Finland,In person,Product or service information,Customer Information,11,0.6,Yes,Yes,,4,5,8,8,61.4,No,The older woman who answered the phone was exceptionally kind and explained the booking process slowly.
R0221,2026-01-21,Returning customer,25–34,Other part of region,Chat,Delivery or order status,Orders & Delivery,23,1.6,Yes,No,,1,4,8,7,22.37,No,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0222,2026-02-26,Returning customer,35–44,Other part of region,Email,Billing or payment,Billing & Payments,3,3.8,Yes,Yes,4,5,4,8,9,42.22,No,"The payment process worked, but I would prefer a faster email reply."
R0223,2026-03-22,New customer,25–34,Local area,Phone,Return or cancellation,Orders & Delivery,37,1.4,Yes,No,,2,4,8,8,12.34,No,My order question was solved quickly and the employee was helpful.
R0224,2026-06-20,New customer,35–44,Other part of region,Chat,Installation or setup,Technical Support,1,2.5,Yes,Yes,,4,2,5,7,28.72,No,"The technical problem was real, but the response felt dismissive rather than helpful."
R0225,2026-03-01,Business customer,65+,Other part of region,Phone,Technical support,Technical Support,7,2.3,Yes,Yes,,4,2,6,6,196.52,No,"My setup question was partly solved, but I still need to test the final step."
R0226,2026-04-19,New customer,35–44,Elsewhere in Finland,Phone,Delivery or order status,Orders & Delivery,15,2.1,Yes,No,,2,5,7,6,108.78,No,The delivery information on the website was unclear. Customer service answered immediately once I asked.
R0227,2026-04-12,Returning customer,55–64,Elsewhere in Finland,Phone,Return or cancellation,Customer Information,11,2.1,Yes,Yes,,4,4,8,6,29.81,No,The woman who helped me took extra time to explain the options and I really appreciated it.
R0228,2026-04-08,Returning customer,35–44,Elsewhere in Finland,Email,Billing or payment,Billing & Payments,1,2.7,Yes,Yes,3,4,4,8,9,256.57,No,"The payment process worked, but I would prefer a faster email reply."
R0229,2026-03-19,Returning customer,25–34,Elsewhere in Finland,Email,Complaint or follow-up,Technical Support,49,13.0,No,No,3,4,2,4,3,48.97,Yes,"I received an answer quickly, but it did not actually solve the problem."
R0230,2026-02-28,Returning customer,25–34,Local area,Email,Delivery or order status,Orders & Delivery,9,2.8,Yes,No,4,2,5,7,8,19.8,No,Nothing was wrong with the staff. The problem was that the website did not tell me what I needed to know.
R0231,2026-04-04,Business customer,35–44,Local area,Email,Delivery or order status,Orders & Delivery,4,0.4,Yes,Yes,3,2,5,8,7,235.77,No,Customer service answered my delivery question. The process was acceptable overall.
R0232,2026-03-08,New customer,45–54,Local area,Web form,Return or cancellation,Orders & Delivery,11,1.3,Yes,No,,2,4,7,6,246.72,No,The website sent me in circles when I looked for delivery information. The actual service person was good.
R0233,2026-03-08,Returning customer,55–64,Other part of region,Chat,Delivery or order status,Orders & Delivery,1,1.3,Yes,No,,2,4,9,8,262.7,No,The website sent me in circles when I looked for delivery information. The actual service person was good.
R0234,2026-02-03,New customer,18–24,Local area,Chat,Product or service information,Customer Information,11,1.1,Yes,Yes,,4,4,9,10,58.46,No,Friendly service and a clear explanation of what I needed to do next.
R0235,2026-01-20,New customer,45–54,Local area,Email,Billing or payment,Billing & Payments,29,2.3,Yes,Yes,4,3,4,9,8,50.48,No,
R0236,2026-02-18,Business customer,55–64,Other part of region,Email,Product or service information,Customer Information,7,8.4,No,Yes,4,5,5,8,8,230.04,No,
R0237,2026-06-17,New customer,55–64,Local area,Web form,Complaint or follow-up,Billing & Payments,5,1.1,Yes,Yes,,4,3,8,8,397.86,No,"The employee was friendly, although the invoice layout could be clearer."
R0238,2026-01-18,New customer,18–24,Local area,Phone,Delivery or order status,Orders & Delivery,16,18.4,No,No,,2,5,6,6,169.65,No,I could not find where to check my order status. The staff member was helpful when I finally contacted the company.
R0239,2026-01-24,Returning customer,25–34,Local area,Email,Billing or payment,Billing & Payments,14,1.5,Yes,Yes,4,4,4,7,7,27.19,No,The payment issue was solved during the first contact.
R0240,2026-05-21,New customer,18–24,Local area,Web form,Billing or payment,Billing & Payments,13,3.2,No,Yes,,3,4,8,8,5.94,No,I received a clear answer to my billing question.
R0241,2026-03-23,New customer,45–54,Other part of region,In person,Return or cancellation,Customer Information,11,0.7,Yes,No,,4,5,10,10,72.52,No,The older woman who answered the phone was exceptionally kind and explained the booking process slowly.
R0242,2026-03-24,Returning customer,25–34,Elsewhere in Finland,Web form,Delivery or order status,Orders & Delivery,4,4.3,No,No,,2,4,5,6,218.02,Yes,The website sent me in circles when I looked for delivery information. The actual service person was good.
R0243,2026-06-12,Returning customer,45–54,Local area,Email,Product or service information,Customer Information,13,0.8,Yes,No,3,5,5,10,9,20.36,No,
R0244,2026-06-09,New customer,25–34,Other part of region,Chat,Technical support,Technical Support,14,3.2,Yes,Yes,,3,3,5,6,172.28,No,I had to explain the same technical issue twice before I got a useful answer.
R0245,2026-06-08,Returning customer,35–44,Local area,Phone,Purchase or booking,Orders & Delivery,11,1.6,Yes,Yes,,2,3,8,6,71.61,No,"The order arrived as promised, but I would like clearer updates during delivery."
R0246,2026-01-11,Returning customer,25–34,Local area,In person,Product or service information,Customer Information,4,0.3,Yes,Yes,,4,5,10,10,142.53,No,Friendly service and a clear explanation of what I needed to do next.
R0247,2026-06-19,New customer,65+,Local area,Chat,Installation or setup,Technical Support,10,1.1,Yes,Yes,,5,4,7,7,57.0,No,"The technical answer was brief but correct, and I did not need any follow-up."
R0248,2026-02-25,Returning customer,18–24,Elsewhere in Finland,Phone,Return or cancellation,Customer Information,13,1.6,Yes,Yes,,5,5,10,9,51.84,No,The older woman who answered the phone was exceptionally kind and explained the booking process slowly.
R0249,2026-05-27,Returning customer,35–44,Other part of region,Phone,Installation or setup,Technical Support,14,9.7,No,Yes,,4,3,5,6,179.95,Yes,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0250,2026-06-19,Returning customer,18–24,Other part of region,Chat,Technical support,Technical Support,28,24.0,No,Yes,,4,3,5,5,17.53,Yes,
R0251,2026-02-28,Business customer,25–34,Local area,Phone,Delivery or order status,Orders & Delivery,6,1.8,Yes,No,,1,3,6,3,65.34,No,I only contacted the company because I could not see when my order would arrive online.
R0252,2026-05-05,New customer,55–64,Local area,Web form,Return or cancellation,Customer Information,4,1.2,Yes,Yes,,4,4,10,10,37.31,No,I had several questions and the older lady answered every one without making me feel hurried.
R0253,2026-01-29,Returning customer,25–34,Local area,Web form,Delivery or order status,Orders & Delivery,21,1.3,Yes,No,,2,4,8,7,63.7,No,My order question was solved quickly and the employee was helpful.
R0254,2026-06-03,Business customer,18–24,Elsewhere in Finland,Chat,Purchase or booking,Orders & Delivery,12,2.2,Yes,No,,2,3,6,6,1220.53,No,"I searched the website for tracking information and could not find it, so I had to use the web form."
R0255,2026-06-12,Returning customer,45–54,Local area,Web form,Purchase or booking,Orders & Delivery,24,1.7,Yes,No,,1,4,8,6,105.87,No,"I searched the website for tracking information and could not find it, so I had to use the web form."
R0256,2026-04-17,New customer,45–54,Elsewhere in Finland,Phone,Billing or payment,Billing & Payments,4,5.8,No,Yes,,4,4,6,8,232.93,No,"The payment process worked, but I would prefer a faster email reply."
R0257,2026-02-12,New customer,35–44,Local area,Email,Installation or setup,Technical Support,24,10.3,No,Yes,3,4,2,6,5,294.05,Yes,I felt as if I was bothering the technician when I asked a follow-up question.
R0258,2026-04-18,Returning customer,25–34,Local area,Email,Delivery or order status,Orders & Delivery,36,2.8,Yes,No,3,3,3,8,8,34.08,No,"The employee was helpful, but I should have been able to find the delivery status on the website."
R0259,2026-03-29,Returning customer,25–34,Other part of region,Email,Purchase or booking,Customer Information,17,1.2,Yes,No,4,4,5,10,8,90.25,No,
R0260,2026-06-15,Returning customer,55–64,Other part of region,Chat,Return or cancellation,Orders & Delivery,31,0.5,Yes,No,,2,5,7,7,15.01,No,
R0261,2026-04-02,New customer,25–34,Other part of region,Chat,Product or service information,Customer Information,1,0.5,Yes,No,,4,5,9,10,151.07,Yes,The older lady was probably the most helpful person I have spoken to at the company.
R0262,2026-05-07,Returning customer,55–64,Local area,Email,Purchase or booking,Orders & Delivery,26,1.3,Yes,Yes,4,2,5,8,9,171.89,No,My order question was solved quickly and the employee was helpful.
R0263,2026-02-26,Business customer,25–34,Local area,Chat,Billing or payment,Billing & Payments,93,1.1,Yes,No,,3,3,8,6,236.91,No,The invoice question was answered clearly and I understood the charge.
R0264,2026-06-25,Returning customer,25–34,Elsewhere in Finland,Chat,Technical support,Technical Support,30,7.8,No,Yes,,4,3,4,4,84.43,Yes,The technician's answer was very short and I still did not know what to do.
R0265,2026-04-18,New customer,18–24,Local area,Email,Billing or payment,Billing & Payments,10,1.4,Yes,Yes,4,4,5,8,8,27.81,Yes,I needed one follow-up about the invoice before everything was clear.
R0266,2026-03-02,Returning customer,25–34,Local area,Web form,Return or cancellation,Orders & Delivery,13,1.5,Yes,No,,2,3,6,6,67.78,No,
R0267,2026-01-13,New customer,55–64,Other part of region,Email,Technical support,Technical Support,29,3.7,Yes,Yes,3,4,3,6,4,139.72,Yes,The problem seems fixed now. I would have appreciated a little more explanation.
R0268,2026-05-05,Returning customer,25–34,Local area,Web form,Product or service information,Customer Information,11,1.0,Yes,Yes,,4,5,9,8,12.51,No,Friendly service and a clear explanation of what I needed to do next.
R0269,2026-06-12,Returning customer,18–24,Local area,Email,Product or service information,Customer Information,21,0.6,Yes,Yes,4,5,5,10,7,95.46,No,The woman who helped me took extra time to explain the options and I really appreciated it.
R0270,2026-05-13,New customer,45–54,Other part of region,Phone,Return or cancellation,Orders & Delivery,18,1.2,Yes,Yes,,2,5,6,8,59.62,No,Customer service answered my delivery question. The process was acceptable overall.
R0271,2026-05-09,Returning customer,25–34,Local area,In person,Purchase or booking,Orders & Delivery,14,0.9,Yes,Yes,,2,4,9,9,38.76,No,I needed help with a return and the employee explained the next step clearly.
R0272,2026-05-17,Returning customer,55–64,Elsewhere in Finland,Web form,Delivery or order status,Orders & Delivery,38,10.7,No,No,,1,5,8,6,57.58,Yes,I could not find where to check my order status. The staff member was helpful when I finally contacted the company.
R0273,2026-02-27,Returning customer,55–64,Elsewhere in Finland,Phone,Installation or setup,Technical Support,20,3.6,Yes,Yes,,4,3,5,5,58.76,Yes,"The technical problem was real, but the response felt dismissive rather than helpful."
R0274,2026-02-15,Returning customer,25–34,Other part of region,Phone,Delivery or order status,Orders & Delivery,1,1.8,Yes,No,,1,3,7,7,340.64,No,"The return and delivery pages were hard to navigate, so I contacted customer service instead."
R0275,2026-01-10,New customer,25–34,Local area,In person,Billing or payment,Billing & Payments,43,2.1,Yes,Yes,,4,5,10,8,442.59,No,"I had to ask about an additional fee, but the explanation was reasonable."
R0276,2026-02-22,New customer,65+,Local area,Phone,Purchase or booking,Customer Information,3,0.7,Yes,Yes,,3,4,9,7,78.15,Yes,"I am not very comfortable with online services, but the older lady made the process feel easy."
R0277,2026-05-30,New customer,18–24,Elsewhere in Finland,Email,Billing or payment,Billing & Payments,9,3.8,Yes,Yes,3,4,4,10,8,145.89,No,I received a clear answer to my billing question.
R0278,2026-05-15,Returning customer,45–54,Elsewhere in Finland,Web form,Delivery or order status,Orders & Delivery,32,2.2,Yes,No,,1,4,6,5,32.4,No,The delivery information on the website was unclear. Customer service answered immediately once I asked.
R0279,2026-01-26,Business customer,35–44,Local area,Chat,Return or cancellation,Orders & Delivery,24,1.9,Yes,No,,3,5,8,7,110.41,No,My order question was solved quickly and the employee was helpful.
R0280,2026-02-22,Returning customer,35–44,Local area,Email,Complaint or follow-up,Billing & Payments,59,5.3,No,Yes,2,4,3,6,8,36.26,Yes,
R0281,2026-03-18,Business customer,35–44,Local area,Web form,Delivery or order status,Orders & Delivery,12,10.7,No,No,,2,5,5,6,205.09,No,I only contacted the company because I could not see when my order would arrive online.
R0282,2026-01-16,New customer,25–34,Local area,Chat,Delivery or order status,Orders & Delivery,11,7.5,No,No,,2,4,6,6,162.6,Yes,"The employee was helpful, but I should have been able to find the delivery status on the website."
R0283,2026-06-21,Returning customer,45–54,Local area,In person,Delivery or order status,Orders & Delivery,22,0.8,Yes,No,,3,4,5,6,31.97,No,Customer service answered my delivery question. The process was acceptable overall.
R0284,2026-06-15,Business customer,25–34,Elsewhere in Finland,Email,Installation or setup,Technical Support,23,3.4,Yes,No,4,3,3,6,5,354.7,Yes,I had to explain the same technical issue twice before I got a useful answer.
R0285,2026-03-25,Returning customer,25–34,Other part of region,Chat,Installation or setup,Technical Support,12,13.0,No,No,,3,3,4,4,53.18,Yes,I felt as if I was bothering the technician when I asked a follow-up question.
R0286,2026-05-20,New customer,35–44,Other part of region,Phone,Technical support,Technical Support,20,7.1,Yes,No,,3,3,6,7,27.68,No,"I was told to check the instructions, but the instructions did not answer my question."
R0287,2026-06-26,New customer,25–34,Other part of region,Email,Billing or payment,Billing & Payments,15,2.4,Yes,Yes,4,4,5,9,10,167.16,Yes,"The payment process worked, but I would prefer a faster email reply."
R0288,2026-02-19,Returning customer,35–44,Local area,Web form,Technical support,Technical Support,32,2.6,Yes,Yes,,4,3,4,4,111.31,No,"The first technical reply told me what to try, but not how to do it. I needed another contact."
R0289,2026-03-20,Returning customer,35–44,Other part of region,Chat,Technical support,Technical Support,23,1.8,Yes,No,,3,3,5,6,48.8,No,I had to explain the same technical issue twice before I got a useful answer.
R0290,2026-05-01,New customer,45–54,Local area,Web form,Product or service information,Customer Information,1,3.6,No,Yes,,4,5,9,10,24.67,No,Friendly service and a clear explanation of what I needed to do next.
R0291,2026-05-28,Business customer,45–54,Elsewhere in Finland,In person,Complaint or follow-up,Customer Information,6,0.5,Yes,Yes,,5,5,10,9,202.41,No,I found most of the information myself and customer service confirmed the last detail.
