SvarID,Datum,Kundtyp,Åldersgrupp,Region,Kontaktkanal,Kontaktorsak,Avdelning,VäntetidMinuter,LösningstidTimmar,LöstVidFörstaKontakt,InformationLättAttHitta,BetygEpostsvarshastighet,BetygWebbnavigering,BetygPersonalensHjälpsamhet,Helhetsnöjdhet,Rekommendationsvilja,KöpEllerTjänstevärdeEUR,UppföljningBehövs,Kundkommentar
VBA111,2026-01-12,Återkommande kund,45–54,Övriga Finland,E-post,Faktura efter utbildning,Fakturering och betalning,4,1.5,Ja,Ja,4,4,4,9,7,790,Nej,Bra och saklig hjälp med fakturauppgifterna.
VBA112,2026-02-08,Företagskund,55–64,Övriga Österbotten,Webbformulär,Problem med kursplattform,Teknisk support,32,5.7,Ja,Ja,,3,2,5,3,690,Nej,Det kändes som att jag störde när jag bad om hjälp med Teams. Jag fick försöka igen senare.
VBA113,2026-04-19,Företagskund,45–54,Vasa med omnejd,E-post,Val av utbildning,Kundinformation,8,1.6,Ja,Ja,4,5,5,10,9,850,Nej,Mycket personlig service. Den äldre damen kom ihåg min tidigare fråga och hjälpte mig vidare direkt.
VBA114,2026-05-15,Ny kund,35–44,Vasa med omnejd,E-post,Pris och offert,Kundinformation,3,1.0,Ja,Ja,5,5,5,9,9,850,Nej,Den äldre damen jag talade med var otroligt tålmodig och förklarade skillnaden mellan kurserna på ett enkelt sätt.
VBA115,2026-01-20,Ny kund,45–54,Övriga Österbotten,E-post,Problem med kursplattform,Teknisk support,25,9.3,Nej,Nej,4,4,3,4,6,690,Nej,Jag kom in på kursen efter en andra kontakt med supporten.
VBA116,2026-06-16,Återkommande kund,45–54,Vasa med omnejd,Telefon,Anmälan till kurs,Kursanmälan och webb,22,1.6,Nej,Nej,,2,3,6,9,950,Nej,Anmälningslänken var svår att hitta. När jag väl fick kontakt med någon gick allt snabbt.
VBA117,2026-06-01,Återkommande kund,65+,Övriga Österbotten,Telefon,Faktura efter utbildning,Fakturering och betalning,6,1.9,Ja,Nej,,4,3,8,7,850,Ja,Jag hade en fråga om betalningsvillkoret och fick svar samma dag.
VBA118,2026-05-18,Företagskund,65+,Vasa med omnejd,Telefon,Online eller på plats,Kundinformation,6,1.2,Ja,Ja,,4,5,9,10,850,Nej,Den äldre kvinnan på kundinformationen tog sig tid och hjälpte oss välja rätt utbildning utan att stressa.
VBA119,2026-02-21,Ny kund,25–34,Vasa med omnejd,E-post,Anmälan till kurs,Kursanmälan och webb,22,2.2,Ja,Nej,4,2,5,7,9,690,Nej,Jag borde ha kunnat se direkt på webben om kursen ordnas online eller hos kunden.
VBA120,2026-05-17,Återkommande kund,65+,Övriga Österbotten,Webbformulär,Kursdatum och plats,Kursanmälan och webb,16,0.7,Ja,Ja,,3,4,9,8,1390,Nej,Jag ringde för att fråga om priset eftersom jag inte hittade rätt prisuppgift på webbsidan.
